First name,Last name,ID number,Institution,Department,Email address,Dis sec,Ind sec,Lab sec,Lec sec,Pra sec,Sem sec,Sts sec,Assignment:HW1 (Real),Assignment:HW2 (Real),Assignment:HW3 (Real),Assignment:HW4 (Real),Assignment:HW5 (Real),Assignment:HW 6 (Real),Assignment:HW7 (Real),Assignment:HW8 (Real),Assignment:HW9 (Real),Assignment:HW10 (Real),Quiz:Exam 1 (Real),Quiz:Exam 2 (Real),Quiz:Final Exam (Real),Last downloaded from this course
Violet,Johnson,29369716,,,v.johnson@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Carl,Kelley,42470969,,,c.kelley@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Vincent,Hall,33281399,,,v.hall@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Daisy,Richardson,27554815,,,d.richardson@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Dainton,Evans,23686261,,,d.evans@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Tiana,Walker,10707555,,,t.walker@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
John,Richards,46713059,,,j.richards@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Rubie,Tucker,38760221,,,r.tucker@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Anna,Cameron,23436191,,,a.cameron@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Valeria,Roberts,27125709,,,v.roberts@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Sam,Russell,28005583,,,s.russell@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Maximilian,Cameron,24754392,,,m.cameron@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Antony,Douglas,32227458,,,a.douglas@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Carina,Foster,23862960,,,c.foster@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
George,Dixon,10078586,,,g.dixon@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Maria,Parker,26577372,,,m.parker@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Jessica,Wilson,28144145,,,j.wilson@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Steven,Hawkins,39504002,,,s.hawkins@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Isabella,Myers,34987438,,,i.myers@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Mary,Anderson,37600539,,,m.anderson@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Tiana,Adams,41340326,,,t.adams@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Max,Fowler,29186226,,,m.fowler@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Hailey,Perkins,32997821,,,h.perkins@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Aida,Cameron,27623465,,,a.cameron@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Madaline,Perry,43888131,,,m.perry@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Elian,Kelley,22275194,,,e.kelley@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Madaline,Martin,43887092,,,m.martin@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Kirsten,Holmes,35370661,,,k.holmes@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Savana,Perkins,44769417,,,s.perkins@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Julian,Allen,16925823,,,j.allen@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Carina,Lloyd,25886541,,,c.lloyd@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Rubie,Barnes,23248569,,,r.barnes@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Aida,Ellis,41411090,,,a.ellis@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Wilson,Cole,48061925,,,w.cole@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Lenny,Barnes,25856869,,,l.barnes@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Abigail,Reed,26383377,,,a.reed@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Sabrina,Wright,40390256,,,s.wright@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Rafael,Warren,42547119,,,r.warren@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Rebecca,Robinson,33626784,,,r.robinson@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Jacob,Parker,20530372,,,j.parker@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Rosie,Jones,14961485,,,r.jones@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Agata,Ryan,26484586,,,a.ryan@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Amelia,Evans,27732092,,,a.evans@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Kelvin,Richardson,15851557,,,k.richardson@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Dainton,Williams,39368624,,,d.williams@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Dale,Martin,47104497,,,d.martin@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Brianna,Perkins,17090897,,,b.perkins@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Edgar,Baker,21691092,,,e.baker@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Hailey,Richardson,47108424,,,h.richardson@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Preston,Higgins,40286302,,,p.higgins@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Rebecca,Johnston,42319550,,,r.johnston@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Ryan,Russell,49445395,,,r.russell@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Edward,Grant,10406487,,,e.grant@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Jack,Murphy,26532135,,,j.murphy@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Byron,Kelley,26542616,,,b.kelley@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Alan,Holmes,12145632,,,a.holmes@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
David,Elliott,26631272,,,d.elliott@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Isabella,Riley,37120665,,,i.riley@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Bruce,Cooper,24395878,,,b.cooper@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Chelsea,Williams,13408275,,,c.williams@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Andrew,Scott,30825702,,,a.scott@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Aida,Johnston,24730088,,,a.johnston@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Dominik,Anderson,18788191,,,d.anderson@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Nicole,Grant,44626633,,,n.grant@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Antony,Clark,20909518,,,a.clark@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Fiona,Sullivan,16693225,,,f.sullivan@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Lydia,Ross,23005901,,,l.ross@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Elian,Edwards,35490961,,,e.edwards@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Tiana,Robinson,32314700,,,t.robinson@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Alan,Morrison,32806373,,,a.morrison@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Alexia,Ryan,17266527,,,a.ryan@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Edward,Perry,28471810,,,e.perry@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Eleanor,Cunningham,27997641,,,e.cunningham@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Jessica,Reed,33370665,,,j.reed@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Cherry,Allen,39051697,,,c.allen@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Emma,Brown,37552277,,,e.brown@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Gianna,Howard,18538068,,,g.howard@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Arianna,Rogers,49493203,,,a.rogers@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Oscar,Dixon,27295964,,,o.dixon@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Bruce,Smith,35036995,,,b.smith@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Sawyer,Wells,20529945,,,s.wells@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
William,Baker,20934240,,,w.baker@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Natalie,Spencer,38561438,,,n.spencer@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Henry,Murray,32136882,,,h.murray@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Isabella,Barrett,32044677,,,i.barrett@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Michael,Anderson,22489156,,,m.anderson@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Frederick,Mason,31962718,,,f.mason@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Rafael,Higgins,42946965,,,r.higgins@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Charlotte,Carroll,14882916,,,c.carroll@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Wilson,Thomas,24448405,,,w.thomas@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Fiona,Cameron,35593220,,,f.cameron@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Jacob,Murray,20889054,,,j.murray@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Nicholas,Carroll,24495824,,,n.carroll@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Jenna,Cole,45825118,,,j.cole@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Miller,Ross,30356036,,,m.ross@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Charlie,Roberts,39931319,,,c.roberts@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Cherry,Anderson,29432087,,,c.anderson@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Tony,Walker,40241908,,,t.walker@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Charlie,Rogers,36456755,,,c.rogers@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Adrianna,Ross,14529128,,,a.ross@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Amy,Barnes,33297911,,,a.barnes@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Nicholas,Roberts,43445625,,,n.roberts@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Alisa,Murphy,16291135,,,a.murphy@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Sarah,Wells,40154191,,,s.wells@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Mike,Ellis,22921729,,,m.ellis@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Lily,Baker,43460041,,,l.baker@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Adelaide,Grant,34825026,,,a.grant@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Mary,Ryan,10217356,,,m.ryan@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Briony,Hill,31596046,,,b.hill@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Cadie,Bailey,14904055,,,c.bailey@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
